"","Condition","Hemisphere","subID","Task","Skill","P_Avg","TP_Avg"
"1","C","Left","P01","V","N",-0.630030032783308,-0.914618479586482
"2","C","Left","P02","V","N",-0.346577311827364,-1.00315909953671
"3","C","Left","P03","V","N",-0.515901827127439,-0.475358697035039
"4","C","Left","P04","V","E",-0.47541811942063,-0.476624202182123
"5","C","Left","P05","V","E",-0.437750560930183,-0.889209203535231
"6","C","Left","P06","V","N",-0.638183944372019,-0.813881589906132
"7","C","Left","P07","V","E",-0.450387431130036,-0.46548320766945
"8","C","Left","P08","V","E",-0.449582993223751,-0.349488083820822
"9","C","Left","P10","V","N",-0.559230378920886,-0.751749448302578
"10","C","Left","P12","V","N",-0.220650285243688,-0.947401818792278
"11","C","Left","P13","V","E",-0.200957715132634,-0.839417934679278
"12","C","Left","P14","V","N",-0.484830168547222,-0.704581187659357
"13","C","Left","P15","V","E",-0.338678299859796,-0.682098163000413
"14","C","Left","P16","V","N",0.112397260018874,-0.737730329781703
"15","C","Left","P17","V","N",-0.494322478364853,-0.845733583789264
"16","C","Left","P18","V","N",-0.902100024562691,-0.619709328891093
"17","C","Left","P19","V","N",-0.0797482351031047,-0.846446677390269
"18","C","Left","P20","V","E",-0.519308606337055,-0.798795740866419
"19","C","Left","P21","V","E",0.0362753232595662,-0.596927903361034
"20","C","Left","P22","V","E",-0.907609880565694,-0.441977834627984
"21","C","Left","P23","V","E",-0.512880961296788,-0.843429669236479
"22","C","Left","P24","V","N",-0.909273201647116,-0.408822379117841
"23","C","Left","P25","V","E",-0.827684434437655,-0.728668934086374
"24","C","Left","P26","V","N",-1.04224065673628,-1.08954271649674
"25","C","Left","P27","V","N",-0.0308270445832691,-0.727965343570737
"26","C","Left","P28","V","N",-0.34728672663615,-0.516686979016202
"27","C","Left","P29","V","E",-1.1247338085691,-0.929423884420989
"28","C","Left","P30","V","E",0.0033851676753453,-0.993771804157726
"29","C","Left","P31","V","E",-0.154950826312473,-0.883217188622611
"30","C","Left","P32","V","N",0.0344351988019745,-0.554590663971939
"31","C","Left","P33","V","E",0.201887063332562,-0.711087271142425
"32","C","Right","P01","V","N",-0.501306893859257,-0.799956360952663
"33","C","Right","P02","V","N",-0.32612568494519,-0.503911820486296
"34","C","Right","P03","V","N",-0.610866782043594,-0.561332179796025
"35","C","Right","P04","V","E",-0.764607150662893,-1.40881156384469
"36","C","Right","P05","V","E",-0.413783996712522,-0.693535926930044
"37","C","Right","P06","V","N",-0.790717960754486,-0.971899362678042
"38","C","Right","P07","V","E",-0.505577909139044,-0.243838671774138
"39","C","Right","P08","V","E",-0.762010868337219,-0.889372289684264
"40","C","Right","P10","V","N",-0.581744854303481,-1.01438290649796
"41","C","Right","P12","V","N",-0.32348592131601,-0.741670593250206
"42","C","Right","P13","V","E",-0.404751889235645,-0.578211050733724
"43","C","Right","P14","V","N",-0.319880337830767,-0.2998129963209
"44","C","Right","P15","V","E",-0.493833140728022,-0.458221374219065
"45","C","Right","P16","V","N",-0.0515773720402114,-0.613555246400724
"46","C","Right","P17","V","N",-0.734008870248437,-1.31232658996491
"47","C","Right","P18","V","N",-0.850789359916214,-1.30083588832666
"48","C","Right","P19","V","N",-0.171345084939793,-0.575064901403191
"49","C","Right","P20","V","E",-1.10911961700067,-1.38154049306257
"50","C","Right","P21","V","E",-0.417963296823569,-0.427622360921178
"51","C","Right","P22","V","E",-1.13743136024741,-1.32498065464627
"52","C","Right","P23","V","E",-0.57570474343201,-1.02607360826277
"53","C","Right","P24","V","N",-0.903622446566615,-1.25398510092806
"54","C","Right","P25","V","E",-1.20464539485833,-0.948187793934819
"55","C","Right","P26","V","N",-1.04903733726094,-1.53502574659559
"56","C","Right","P27","V","N",-0.138704994345217,-0.183885195216565
"57","C","Right","P28","V","N",-0.381009382495981,-1.05932367758626
"58","C","Right","P29","V","E",-1.17731076863898,-1.22418720558484
"59","C","Right","P30","V","E",-0.905736894772449,-0.239738305878558
"60","C","Right","P31","V","E",-0.840520832361557,-1.28839175791416
