"","Condition","subID","Task","Skill","P_Avg","TP_Avg"
"1","C","P01","V","N",-0.519672497759855,-1.14620451169507
"2","C","P02","V","N",-0.281993861683876,-1.08477494532475
"3","C","P03","V","N",-0.352781947058887,-0.558429328283751
"4","C","P04","V","E",-0.0163568585035613,-0.648869154105332
"5","C","P05","V","E",-0.259419472914973,-0.759656619337111
"6","C","P06","V","N",-0.324006815737974,-1.00179070183391
"7","C","P07","V","E",-0.30439267677847,-0.446107679111521
"8","C","P08","V","E",-0.436287301743427,-0.560488809105325
"9","C","P10","V","N",-0.340667128663172,-0.925365712824746
"10","C","P11","V","E",0.11636787888533,-0.450825975735317
"11","C","P14","V","N",-0.285388889316288,-0.471900684868675
"12","C","P15","V","E",-0.195684309006327,-0.276155289010986
"13","G","P01","N","N",-0.393731007330026,-1.13046570590005
"14","G","P01","V","N",-0.474083565258359,-1.03626704970318
"15","G","P02","N","N",-0.373925900090566,-1.07882048320485
"16","G","P02","V","N",-0.322809221799071,-1.02211675010183
"17","G","P03","N","N",-0.480555740038364,-0.672744764933217
"18","G","P03","V","N",0.0213837267671355,-0.310186002497085
"19","G","P04","N","E",0.00688448788086942,-0.559232164419208
"20","G","P04","V","E",-0.0807615751915755,-0.673568379288565
"21","G","P05","N","E",-0.371017510607485,-0.829454781440823
"22","G","P05","V","E",-0.360879143413433,-0.734190215981758
"23","G","P06","N","N",0.00522229074808531,-0.880256452261466
"24","G","P06","V","N",-0.299962815718538,-0.961384228722818
"25","G","P07","N","E",-0.290452984206417,-0.638104716190192
"26","G","P07","V","E",-0.299760017926196,-0.578266949439126
"27","G","P08","N","E",-0.286537651736193,-0.558290524958681
"28","G","P08","V","E",-0.350429355359116,-0.589023048462544
"29","G","P10","N","N",-0.0256073462340932,-0.873575690595452
"30","G","P10","V","N",-0.330756928549219,-1.03557601512921
"31","G","P11","N","E",-0.0586566115147221,-0.700337423253005
"32","G","P11","V","E",-0.217774767217663,-0.76303261820158
"33","G","P14","N","N",-0.23147127257859,-0.580107665392404
"34","G","P14","V","N",-0.309834109179727,-0.484862874303439
"35","G","P15","N","E",-0.257435408764584,-0.455665127091344
"36","G","P15","V","E",-0.439203024194528,-0.536224557499486
"37","L","P01","N","N",-0.37417350420135,-1.04309601498134
"38","L","P01","V","N",-0.463065467935601,-0.983611415985633
"39","L","P02","N","N",-0.254292846244903,-0.958953925002431
"40","L","P02","V","N",-0.187730914604494,-0.891221678106789
"41","L","P03","N","N",-0.276677870556062,-0.468262744013024
"42","L","P03","V","N",-0.301343166694066,-0.452024162344017
"43","L","P04","N","E",0.000804021477517973,-0.487328468990268
"44","L","P04","V","E",-0.034086896616569,-0.516702234567071
"45","L","P05","N","E",-0.0951097028863795,-0.510464106353103
"46","L","P05","V","E",-0.293376234909709,-0.660353308747399
"47","L","P06","N","N",-0.21975300083125,-0.878957781228258
"48","L","P06","V","N",-0.159735561293248,-0.76880817184025
"49","L","P07","N","E",-0.254702893738199,-0.571998089774259
"50","L","P07","V","E",-0.255758175877352,-0.511808830897202
"51","L","P08","N","E",-0.349441485423397,-0.494375403104852
"52","L","P08","V","E",-0.364721488015501,-0.499635549989959
"53","L","P10","N","N",-0.386508518617029,-0.931828357113857
"54","L","P10","V","N",-0.446206045145452,-0.990119241592529
"55","L","P11","N","E",-0.133735531491791,-0.60166223529587
"56","L","P11","V","E",-0.237656594928463,-0.620301385327065
"57","L","P14","N","N",-0.187543880625188,-0.265722619433732
"58","L","P14","V","N",-0.241345104950293,-0.240574590139652
"59","L","P15","N","E",-0.304098388654535,-0.332369124797585
"60","L","P15","V","E",-0.28505898555545,-0.278665897559535
