"","Condition","Hemisphere","subID","Task","Skill","P_Avg","TP_Avg"
"1","C","Left","P01","V","N",-0.53806649141177,-1.52911708838518
"2","C","Left","P02","V","N",-0.236944219667288,-1.73400250640146
"3","C","Left","P03","V","N",-0.0705430605624406,-1.0722742316253
"4","C","Left","P04","V","E",0.335134852282009,-0.360849628264393
"5","C","Left","P05","V","E",-0.267940573596371,-1.31186976648008
"6","C","Left","P06","V","N",-0.273639120346644,-1.26675289374418
"7","C","Left","P07","V","E",-0.316669146615119,-0.92717057792799
"8","C","Left","P08","V","E",-0.306162621344605,-0.741267432310227
"9","C","Left","P10","V","N",-0.249489009454808,-1.16022589874953
"10","C","Left","P12","V","N",0.347460991666366,-0.750339938653292
"11","C","Left","P13","V","E",-0.204437788754037,-1.22459628973474
"12","C","Left","P14","V","N",-0.436553492639162,-1.21958726992533
"13","C","Left","P15","V","E",-0.0347208157398425,-0.62755823804573
"14","C","Left","P16","V","N",0.165548028521407,-1.13657107603049
"15","C","Left","P17","V","N",-0.22459958315122,-1.28854300063353
"16","C","Left","P18","V","N",-0.351966844138673,-1.00821456805101
"17","C","Left","P19","V","N",-0.0383046071003033,-1.042614143642
"18","C","Left","P20","V","E",-0.253852103952106,-1.03095967630658
"19","C","Left","P21","V","E",0.148202877882899,-0.464181740561845
"20","C","Left","P22","V","E",-0.184506074621629,-0.747086202410609
"21","C","Left","P23","V","E",-0.271953533171453,-1.32753236739382
"22","C","Left","P24","V","N",-0.47815408431332,-1.05621980341417
"23","C","Left","P25","V","E",-0.0703118887471735,-1.22560254212546
"24","C","Left","P26","V","N",-0.552169653419413,-1.51773355077765
"25","C","Left","P27","V","N",0.350250216554589,-1.28027635792462
"26","C","Left","P28","V","N",-0.121394847481378,-1.17235988948629
"27","C","Left","P29","V","E",-0.441785756241781,-1.22099163718262
"28","C","Left","P30","V","E",0.00831420953766393,-1.32176294272059
"29","C","Left","P31","V","E",-0.166409572335541,-1.10765842576217
"30","C","Left","P32","V","N",0.303837845538145,-1.18297702016173
"31","C","Left","P33","V","E",0.484126762164111,-0.755356594638852
"32","C","Right","P01","V","N",-0.527591236796982,-0.7375066090282
"33","C","Right","P02","V","N",-0.324549733428475,-0.389125843005503
"34","C","Right","P03","V","N",-0.641508219202429,-0.0449650802165483
"35","C","Right","P04","V","E",-0.383854683900862,-0.929929168597079
"36","C","Right","P05","V","E",-0.271674341638318,-0.211620486788386
"37","C","Right","P06","V","N",-0.409625272047392,-0.714515705603228
"38","C","Right","P07","V","E",-0.349390714701648,0.0423538063840245
"39","C","Right","P08","V","E",-0.612636318476219,-0.383978188667404
"40","C","Right","P10","V","N",-0.451696168799019,-0.68405056675914
"41","C","Right","P12","V","N",0.144562798817829,-0.342554217682265
"42","C","Right","P13","V","E",-0.294020166462045,-0.509503505166504
"43","C","Right","P14","V","N",-0.14458341935092,0.297045734503481
"44","C","Right","P15","V","E",-0.352259316956487,0.079631925994206
"45","C","Right","P16","V","N",-0.0806479816957176,-0.367658648433212
"46","C","Right","P17","V","N",-0.616919329919854,-1.65967805299152
"47","C","Right","P18","V","N",-0.264859396264552,-1.00188027225771
"48","C","Right","P19","V","N",-0.337594451002429,-0.547246910394009
"49","C","Right","P20","V","E",-0.766064922156308,-0.456469520483425
"50","C","Right","P21","V","E",-0.340930137222494,0.26267128763759
"51","C","Right","P22","V","E",-0.432906938250865,-0.270845820186293
"52","C","Right","P23","V","E",-0.250264008742857,-0.503803371094978
"53","C","Right","P24","V","N",-0.603001534897091,-0.642301241633968
"54","C","Right","P25","V","E",-1.01169039897766,-0.349821908576939
"55","C","Right","P26","V","N",-0.632274220008643,-0.915704563563043
"56","C","Right","P27","V","N",-0.0326165503530548,0.191160270738662
"57","C","Right","P28","V","N",-0.311809699795856,-0.818762739391514
"58","C","Right","P29","V","E",-0.549451084694119,-0.376290439086778
"59","C","Right","P30","V","E",-0.663669120871837,-0.345367847672792
"60","C","Right","P31","V","E",-1.14820875555242,-1.30470807821306
"61","C","Right","P32","V","N",-0.0717878826014774,-0.0871296798283137
"62","C","Right","P33","V","E",-0.062421015018025,0.760485485400633
"63","G","Left","P01","N","N",-0.358717839035395,-1.53416482962563
"64","G","Left","P01","V","N",-0.511299711501012,-1.43739290117099
"65","G","Left","P02","N","N",-0.277253462002319,-1.68347393918828
"66","G","Left","P02","V","N",-0.227185146039393,-1.64628339821297
"67","G","Left","P03","N","N",-0.222409570785859,-1.18748972841799
"68","G","Left","P03","V","N",0.123944114070235,-0.725881839356514
"69","G","Left","P04","N","E",0.314232399253551,-0.367931814518972
"70","G","Left","P04","V","E",0.241336675667341,-0.448385837884604
"71","G","Left","P05","N","E",-0.391607462136949,-1.41752806737538
"72","G","Left","P05","V","E",-0.378608603959289,-1.3015757465898
"73","G","Left","P06","N","N",0.0907120119490706,-1.21661581146709
"74","G","Left","P06","V","N",-0.292578017887141,-1.27966110827935
"75","G","Left","P07","N","E",-0.319511330548565,-1.13303332889166
"76","G","Left","P07","V","E",-0.302431626176019,-1.0884985883953
"77","G","Left","P08","N","E",-0.144872100425077,-0.731865890051905
"78","G","Left","P08","V","E",-0.212649900974695,-0.789514361833945
"79","G","Left","P10","N","N",-0.00217162391912265,-1.12857182941816
"80","G","Left","P10","V","N",-0.248972140671884,-1.25262731204215
"81","G","Left","P12","N","N",0.364001706996256,-0.743482082138369
"82","G","Left","P12","V","N",0.24301476728887,-0.8047180313037
"83","G","Left","P13","N","E",-0.243882921250931,-1.3643457092833
"84","G","Left","P13","V","E",-0.245092090651049,-1.31213104304142
"85","G","Left","P14","N","N",-0.351501240390815,-1.32811054497768
"86","G","Left","P14","V","N",-0.460079479979972,-1.25778198353635
"87","G","Left","P15","N","E",-0.128941949811704,-0.844553002596909
"88","G","Left","P15","V","E",-0.2859729801001,-0.92903912056888
"89","G","Left","P16","N","N",0.346434867305763,-1.05316737892113
"90","G","Left","P16","V","N",0.267840700322435,-1.04754229393705
"91","G","Left","P17","N","N",-0.0427594772066458,-1.13416538623172
"92","G","Left","P17","V","N",-0.274418493055707,-1.22599317788751
"93","G","Left","P18","N","N",-0.023988451402833,-0.900053453225303
"94","G","Left","P18","V","N",-0.310673381465663,-0.983536086940591
"95","G","Left","P20","N","E",-0.148913457654484,-1.30441594169044
"96","G","Left","P20","V","E",-0.443540360135896,-1.29277689870808
"97","G","Left","P21","N","E",0.208390165228532,-0.564538430743046
"98","G","Left","P21","V","E",0.157420878294698,-0.554860421965374
"99","G","Left","P22","N","E",-0.156885605105863,-0.806546442577946
"100","G","Left","P22","V","E",-0.195996285323891,-0.94311481693259
"101","G","Left","P23","N","E",-0.23749012074685,-1.44113558198179
"102","G","Left","P23","V","E",-0.336290969108988,-1.41127316472818
"103","G","Left","P24","N","N",-0.270476693746388,-0.867181676894356
"104","G","Left","P24","V","N",-0.457584758477843,-0.924291700001199
"105","G","Left","P25","N","E",-0.171297345055041,-1.20229860684748
"106","G","Left","P25","V","E",-0.236678874756718,-1.27173456845009
"107","G","Left","P26","N","N",-0.324950308305846,-1.5263561842564
"108","G","Left","P26","V","N",-0.609326817663486,-1.5690175873903
"109","G","Left","P27","N","N",0.149440525982151,-1.35953705516495
"110","G","Left","P27","V","N",0.128111998904745,-1.3759003878927
"111","G","Left","P28","N","N",-0.138831533715071,-1.1919613769003
"112","G","Left","P28","V","N",-0.0458271710235369,-1.13863038332222
"113","G","Left","P29","N","E",-0.270205669325507,-1.38553859165193
"114","G","Left","P29","V","E",-0.537243769067511,-1.33871537132865
"115","G","Left","P30","N","E",-0.124324919140924,-1.49764357909736
"116","G","Left","P30","V","E",-0.115290716889653,-1.33938203117836
"117","G","Left","P31","N","E",-0.210096101456447,-1.26698764829504
"118","G","Left","P31","V","E",-0.37899929655198,-1.28321164865575
"119","G","Left","P32","N","N",0.278180917810765,-1.3859437344538
"120","G","Left","P32","V","N",0.250493639355129,-1.3686088770878
