"","subID","Skill","Order.x","Condition","Occ","Order.y","Direction","Total","N_rt","N_corr"
"1","P01","Novice","L","Local Prime","Early Occlusion","1",0.40625,0.3125,0.781511859375,0.96875
"2","P01","Novice","L","Control","Early Occlusion","0",0.488888888888889,0.288888888888889,0,0
"3","P01","Novice","L","Control","Late Occlusion","0",0.577777777777778,0.244444444444444,0,0
"4","P01","Novice","L","Global Prime","Early Occlusion","2",0.517241379310345,0.241379310344828,0.815885044827586,0.931034482758621
"5","P01","Novice","L","Local Prime","Late Occlusion","1",0.604651162790698,0.372093023255814,0.917710758139535,0.953488372093023
"6","P01","Novice","L","Global Prime","Late Occlusion","2",0.6,0.333333333333333,0.934220615555556,0.977777777777778
"7","P02","Novice","G","Global Prime","Late Occlusion","1",0.622222222222222,0.333333333333333,0.666626577777788,0.977777777777778
"8","P02","Novice","G","Global Prime","Early Occlusion","1",0.644444444444444,0.466666666666667,0.678954815548948,1
"9","P02","Novice","G","Control","Late Occlusion","0",0.466666666666667,0.288888888888889,0,0
"10","P02","Novice","G","Control","Early Occlusion","0",0.511111111111111,0.333333333333333,0,0
"11","P02","Novice","G","Local Prime","Late Occlusion","2",0.6,0.355555555555556,0.788327000002998,0.955555555555556
"12","P02","Novice","G","Local Prime","Early Occlusion","2",0.488888888888889,0.266666666666667,0.793381228887787,0.977777777777778
"13","P03","Novice","L","Local Prime","Early Occlusion","1",0.666666666666667,0.422222222222222,0.701825255546201,0.977777777777778
"14","P03","Novice","L","Control","Late Occlusion","0",0.644444444444444,0.511111111111111,0,0
"15","P03","Novice","L","Local Prime","Late Occlusion","1",0.555555555555556,0.444444444444444,0.730923059983696,0.933333333333333
"16","P03","Novice","L","Global Prime","Early Occlusion","2",0.577777777777778,0.333333333333333,0.524187497794628,1
"17","P03","Novice","L","Control","Early Occlusion","0",0.6,0.377777777777778,0,0
"18","P03","Novice","L","Global Prime","Late Occlusion","2",0.688888888888889,0.577777777777778,0.575697531119092,1
"19","P04","Expert","G","Control","Late Occlusion","0",0.666666666666667,0.577777777777778,0,0
"20","P04","Expert","G","Local Prime","Early Occlusion","1",0.533333333333333,0.311111111111111,0.725077353332502,1
"21","P04","Expert","G","Local Prime","Late Occlusion","1",0.644444444444444,0.511111111111111,0.757079391110973,1
"22","P04","Expert","G","Control","Early Occlusion","0",0.488888888888889,0.355555555555556,0,0
"23","P04","Expert","G","Global Prime","Early Occlusion","2",0.511111111111111,0.288888888888889,0.694156224443254,1
"24","P04","Expert","G","Global Prime","Late Occlusion","2",0.622222222222222,0.577777777777778,0.73952488666853,1
"25","P05","Expert","G","Local Prime","Early Occlusion","1",0.555555555555556,0.377777777777778,0.995300931110978,0.488888888888889
"26","P05","Expert","G","Local Prime","Late Occlusion","1",0.711111111111111,0.6,0.910689215556097,0.577777777777778
"27","P05","Expert","G","Control","Early Occlusion","0",0.577777777777778,0.355555555555556,0,0
"28","P05","Expert","G","Control","Late Occlusion","0",0.8,0.755555555555556,0,0
"29","P05","Expert","G","Global Prime","Early Occlusion","2",0.622222222222222,0.444444444444444,0.819504406670522,0.533333333333333
"30","P05","Expert","G","Global Prime","Late Occlusion","2",0.622222222222222,0.488888888888889,0.748548019998189,0.488888888888889
"31","P06","Novice","L","Control","Late Occlusion","0",0.577777777777778,0.466666666666667,0,0
"32","P06","Novice","L","Control","Early Occlusion","0",0.444444444444444,0.377777777777778,0,0
"33","P06","Novice","L","Global Prime","Late Occlusion","1",0.711111111111111,0.622222222222222,0.592210693332729,0.911111111111111
"34","P06","Novice","L","Global Prime","Early Occlusion","1",0.577777777777778,0.355555555555556,0.573718773334339,1
"35","P06","Novice","L","Local Prime","Late Occlusion","2",0.622222222222222,0.488888888888889,0.740666002223346,1
"36","P06","Novice","L","Local Prime","Early Occlusion","2",0.577777777777778,0.288888888888889,0.752116542223505,1
"37","P07","Expert","L","Local Prime","Early Occlusion","1",0.6,0.355555555555556,0.853656671112145,0.955555555555556
"38","P07","Expert","L","Global Prime","Late Occlusion","2",0.688888888888889,0.622222222222222,0.872708822221547,1
"39","P07","Expert","L","Control","Early Occlusion","0",0.644444444444444,0.333333333333333,0,0
"40","P07","Expert","L","Control","Late Occlusion","0",0.755555555555556,0.644444444444444,0,0
"41","P07","Expert","L","Local Prime","Late Occlusion","1",0.666666666666667,0.511111111111111,0.816143424442918,0.955555555555556
"42","P07","Expert","L","Global Prime","Early Occlusion","2",0.711111111111111,0.444444444444444,0.836009811109398,1
"43","P08","Expert","L","Control","Late Occlusion","0",0.755555555555556,0.755555555555556,0,0
"44","P08","Expert","L","Control","Early Occlusion","0",0.555555555555556,0.333333333333333,0,0
