"","Condition","subID","Task","Skill","P_Avg","TP_Avg"
"1","C","P01","V","N",0.0459959655614267,-0.2889170914255
"2","C","P02","V","N",0.0543576367024015,-0.331239485313244
"3","C","P03","V","N",0.210602357526629,-0.040083889868219
"4","C","P04","V","E",0.6036557765382,0.293848728908077
"5","C","P05","V","E",0.166347805906379,0.0317159458955262
"6","C","P06","V","N",0.390444136825278,-0.108900225541827
"7","C","P07","V","E",0.17358999335607,-0.0914467393897267
"8","C","P08","V","E",0.169509629037058,0.0589413776472181
"9","C","P10","V","N",0.229820487949012,-0.0422995354244764
"10","C","P11","V","E",0.225624372732268,0.118665505008772
"11","C","P14","V","N",0.116966363872707,0.0302964071214534
"12","C","P15","V","E",0.220571411287582,0.294004479598753
"13","G","P01","N","N",-0.0763113690216024,-0.371219139877816
"14","G","P01","V","N",0.0213493898732385,-0.36066883897019
"15","G","P02","N","N",-0.0451487877954138,-0.309476970634726
"16","G","P02","V","N",0.032502231161488,-0.328205830232793
"17","G","P03","N","N",0.066328073871275,-0.0249795605695232
"18","G","P03","V","N",0.346184854518843,0.178609397760566
"19","G","P04","N","E",0.270083747591077,0.200215544885015
"20","G","P04","V","E",0.542114835476451,0.35911893960247
"21","G","P05","N","E",0.0734085735394827,0.205018134996648
"22","G","P05","V","E",0.125152106361027,0.193265896028022
"23","G","P06","N","N",0.386399732723323,-0.0392084932156893
"24","G","P06","V","N",0.338435435642147,-0.157374085997339
"25","G","P07","N","E",0.225169304134159,-0.167233978918356
"26","G","P07","V","E",0.146279028047768,-0.183288932976688
"27","G","P08","N","E",0.251466137507652,0.101280390247319
"28","G","P08","V","E",0.120680311076423,-0.032786546905354
"29","G","P10","N","N",0.250912115249699,-0.127539466123762
"30","G","P10","V","N",0.222585037450877,-0.132672056269157
"31","G","P11","N","E",0.0503426481764393,-0.0291010223772314
"32","G","P11","V","E",0.0540380454585662,-0.0261561810411408
"33","G","P14","N","N",0.0317448687329072,-0.0783811807634046
"34","G","P14","V","N",0.041026710190533,-0.0340643651607631
"35","G","P15","N","E",0.080560052764315,0.0726164454535537
"36","G","P15","V","E",0.126469652032304,0.273577973380516
"37","L","P01","N","N",-0.0335970611482045,-0.25220317371312
"38","L","P01","V","N",0.0323625440847812,-0.24399391477496
"39","L","P02","N","N",0.0790729655449293,-0.28195583964444
"40","L","P02","V","N",0.157184486108196,-0.266927727081175
"41","L","P03","N","N",-0.0987765648157498,0.0491648160115068
"42","L","P03","V","N",0.18025534786557,0.0711425786877765
"43","L","P04","N","E",0.504085759739384,0.406250643336984
"44","L","P04","V","E",0.580019599099392,0.450151991062306
"45","L","P05","N","E",0.304126495409776,0.357980459825533
"46","L","P05","V","E",0.143625787189337,0.152739089691215
"47","L","P06","N","N",0.335170925067102,-0.0272123997003544
"48","L","P06","V","N",0.49845026036035,-0.0144168506933774
"49","L","P07","N","E",0.124786860088674,-0.22717945489777
"50","L","P07","V","E",0.185635004944812,-0.173798781143482
"51","L","P08","N","E",-0.0244304982569737,0.137720574741822
"52","L","P08","V","E",0.130633608957194,0.0470747172656818
"53","L","P10","N","N",0.0208949178139917,-0.00357990008109788
"54","L","P10","V","N",0.125543931579853,-0.103895407003084
"55","L","P11","N","E",-0.0223277333657593,0.0662137872919153
"56","L","P11","V","E",0.0221866539325914,0.122979321013354
"57","L","P14","N","N",0.0153215116495548,0.0445021128478974
"58","L","P14","V","N",0.11886478125721,0.134250808862643
"59","L","P15","N","E",0.164743393894339,0.340889860956726
"60","L","P15","V","E",0.216284455363069,0.450262333620669
