"","Condition","Hemisphere","subID","Task","Skill","P_Avg","TP_Avg"
"1","C","Left","P01","V","N",0.0919635413715376,-0.614498608798695
"2","C","Left","P02","V","N",0.109633092160076,-0.730843406864757
"3","C","Left","P03","V","N",0.445358766564998,-0.596915534590262
"4","C","Left","P04","V","E",0.810552971702639,0.11577457391773
"5","C","Left","P05","V","E",0.169809987333812,-0.422660562944851
"6","C","Left","P06","V","N",0.364544824025376,-0.452871303838046
"7","C","Left","P07","V","E",0.133718284514917,-0.46168737025854
"8","C","Left","P08","V","E",0.143420371879146,-0.391779348489405
"9","C","Left","P10","V","N",0.309741369466078,-0.408476450446953
"10","C","Left","P12","V","N",0.568111276910054,0.197061880138986
"11","C","Left","P13","V","E",-0.00348007362140224,-0.385178355055459
"12","C","Left","P14","V","N",0.0482766759080596,-0.515006082265971
"13","C","Left","P15","V","E",0.303957484119953,0.054539924954683
"14","C","Left","P16","V","N",0.0531507685025333,-0.398840746248783
"15","C","Left","P17","V","N",0.269722895213634,-0.442809416844267
"16","C","Left","P18","V","N",0.550133180424017,-0.388505239159918
"17","C","Left","P19","V","N",0.0414436280028014,-0.196167466251729
"18","C","Left","P20","V","E",0.265456502384949,-0.232163935440159
"19","C","Left","P21","V","E",0.111927554623332,0.132746162799189
"20","C","Left","P22","V","E",0.723103805944066,-0.305108367782625
"21","C","Left","P23","V","E",0.240927428125334,-0.484102698157337
"22","C","Left","P24","V","N",0.431119117333796,-0.647397424296334
"23","C","Left","P25","V","E",0.757372545690481,-0.496933608039084
"24","C","Left","P26","V","N",0.490071003316863,-0.428190834280908
"25","C","Left","P27","V","N",0.381077261137859,-0.55231101435388
"26","C","Left","P28","V","N",0.225891879154772,-0.655672910470089
"27","C","Left","P29","V","E",0.682948052327315,-0.291567752761626
"28","C","Left","P30","V","E",0.00492904186231863,-0.327991138562864
"29","C","Left","P31","V","E",-0.0114587460230678,-0.224441237139556
"30","C","Left","P32","V","N",0.269402646736171,-0.628386356189793
"31","C","Left","P33","V","E",0.28223969883155,-0.0442693234964262
"32","C","Right","P01","V","N",-0.026284342937725,0.0624497519244629
"33","C","Right","P02","V","N",0.0015759515167153,0.114785977480792
"34","C","Right","P03","V","N",-0.0306414371588354,0.516367099579477
"35","C","Right","P04","V","E",0.380752466762031,0.478882395247615
"36","C","Right","P05","V","E",0.142109655074205,0.481915440141658
"37","C","Right","P06","V","N",0.381092688707093,0.257383657074813
"38","C","Right","P07","V","E",0.156187194437397,0.286192478158162
"39","C","Right","P08","V","E",0.149374549861,0.50539410101686
"40","C","Right","P10","V","N",0.130048685504462,0.330332339738823
"41","C","Right","P12","V","N",0.468048720133839,0.399116375567942
"42","C","Right","P13","V","E",0.1107317227736,0.0687075455672203
"43","C","Right","P14","V","N",0.175296918479848,0.596858730824381
"44","C","Right","P15","V","E",0.141573823771536,0.537853300213271
"45","C","Right","P16","V","N",-0.0290706096555063,0.245896597967512
"46","C","Right","P17","V","N",0.117089540328583,-0.347351463026606
"47","C","Right","P18","V","N",0.585929963651662,0.29895561606895
"48","C","Right","P19","V","N",-0.166249366062637,0.0278179910091815
"49","C","Right","P20","V","E",0.343054694844361,0.925070972579143
"50","C","Right","P21","V","E",0.0770331596010749,0.690293648558767
"51","C","Right","P22","V","E",0.704524421996544,1.05413483445997
"52","C","Right","P23","V","E",0.325440734689153,0.522270237167794
"53","C","Right","P24","V","N",0.300620911669524,0.611683859294096
"54","C","Right","P25","V","E",0.192954995880678,0.598365885357879
"55","C","Right","P26","V","N",0.416763117252292,0.619321183032545
"56","C","Right","P27","V","N",0.106088443992162,0.375045465955228
"57","C","Right","P28","V","N",0.0691996827001253,0.240560938194745
"58","C","Right","P29","V","E",0.627859683944857,0.847896766498059
"59","C","Right","P30","V","E",0.242067773900611,-0.105629541794234
"60","C","Right","P31","V","E",-0.307687923190864,-0.0163163202988976
"61","C","Right","P32","V","N",0.0841133877953496,0.0726423450086562
"62","C","Right","P33","V","E",-0.0216258655281547,0.399972783002467
"63","G","Left","P01","N","N",-0.126888385393656,-0.733103891861807
"64","G","Left","P01","V","N",0.0377342914101024,-0.74156441258501
"65","G","Left","P02","N","N",-0.0333631976046828,-0.68471577545758
"66","G","Left","P02","V","N",0.0479700351744102,-0.71655742566594
"67","G","Left","P03","N","N",0.259560680372558,-0.595572948259698
"68","G","Left","P03","V","N",0.453184061428738,-0.281842001217691
"69","G","Left","P04","N","E",0.471897565257325,-0.0376634371463597
"70","G","Left","P04","V","E",0.729701532088055,0.147811811084263
"71","G","Left","P05","N","E",0.163825181939925,-0.270763149659896
"72","G","Left","P05","V","E",0.131525783703546,-0.29064619792909
"73","G","Left","P06","N","N",0.369056351888227,-0.471634907999949
"74","G","Left","P06","V","N",0.286532832927659,-0.539427625079547
"75","G","Left","P07","N","E",0.136712358788003,-0.568621224595762
"76","G","Left","P07","V","E",0.0990390730021028,-0.616065720168327
"77","G","Left","P08","N","E",0.214276029925281,-0.355713390275632
"78","G","Left","P08","V","E",0.104972884346914,-0.523461814661975
"79","G","Left","P10","N","N",0.368340310252618,-0.474595682739775
"80","G","Left","P10","V","N",0.284350134003818,-0.474730005927961
"81","G","Left","P12","N","N",0.724199238913206,0.207105170010688
"82","G","Left","P12","V","N",0.564444779707532,0.162796789728274
"83","G","Left","P13","N","E",-0.0648791018906661,-0.537099294599957
"84","G","Left","P13","V","E",-0.055743314374323,-0.428589907737053
"85","G","Left","P14","N","N",-0.00332090691934905,-0.622298259328911
"86","G","Left","P14","V","N",-0.067373640219124,-0.629858054860684
"87","G","Left","P15","N","E",0.164610479832914,-0.20895305150082
"88","G","Left","P15","V","E",0.201437827019933,-0.0186643605035847
"89","G","Left","P16","N","N",0.170479516602124,-0.30861015247245
"90","G","Left","P16","V","N",0.120611716996435,-0.314878821986721
"91","G","Left","P17","N","N",0.180504670159072,-0.486783893076042
"92","G","Left","P17","V","N",0.1777146061035,-0.487024785502373
"93","G","Left","P18","N","N",0.486894507175072,-0.31160258841262
"94","G","Left","P18","V","N",0.465855649775948,-0.44091045671355
"95","G","Left","P20","N","E",0.254526010163926,-0.447657173053558
"96","G","Left","P20","V","E",0.169648338579393,-0.312199074016068
"97","G","Left","P21","N","E",0.140113977992791,0.0615842462954259
"98","G","Left","P21","V","E",0.0914933150522425,0.071837805415211
"99","G","Left","P22","N","E",0.503578461683023,-0.375326397664917
"100","G","Left","P22","V","E",0.682951044899135,-0.37741709766645
"101","G","Left","P23","N","E",0.188889887499335,-0.54314552020842
"102","G","Left","P23","V","E",0.16608970121832,-0.633364354743598
"103","G","Left","P24","N","N",0.579213267093532,-0.416604991036015
"104","G","Left","P24","V","N",0.453011598131147,-0.623474887273354
"105","G","Left","P25","N","E",0.828573241331065,-0.455764562696032
"106","G","Left","P25","V","E",0.599217263984391,-0.508121793322271
"107","G","Left","P26","N","N",0.425143139603788,-0.598465111484699
"108","G","Left","P26","V","N",0.413783405069418,-0.514578766331842
"109","G","Left","P27","N","N",0.244690222678259,-0.730814530025459
"110","G","Left","P27","V","N",0.281346478834999,-0.635566395538347
"111","G","Left","P28","N","N",0.133964976491569,-0.871628825234031
"112","G","Left","P28","V","N",0.270356080361357,-0.617086947763931
"113","G","Left","P29","N","E",0.496553367586561,-0.611488069099905
"114","G","Left","P29","V","E",0.480897691713757,-0.506342891698914
"115","G","Left","P30","N","E",-0.0619555377840786,-0.517311713038639
"116","G","Left","P30","V","E",-0.0254043927565185,-0.423484378665156
"117","G","Left","P31","N","E",-0.177857980873402,-0.400284050699296
"118","G","Left","P31","V","E",-0.141322897658151,-0.262664315329394
"119","G","Left","P32","N","N",0.34815302464837,-0.758538418460394
"120","G","Left","P32","V","N",0.237085941565506,-0.826609894819144
"121","G","Left","P33","N","E",0.277074238622642,-0.0890988239800895
"122","G","Left","P33","V","E",0.385579188536365,0.034655759911379
"123","G","Right","P01","N","N",-0.0235005909113183,0.00976105011931283
"124","G","Right","P01","V","N",-0.0152929484044001,0.045478363953448
"125","G","Right","P02","N","N",-0.054851705999035,0.0905424803186026
"126","G","Right","P02","V","N",0.0134661409161104,0.0921005608879771
"127","G","Right","P03","N","N",-0.125358411022039,0.534892138963818
"128","G","Right","P03","V","N",0.21901251168874,0.684268389900325
"129","G","Right","P04","N","E",0.0748792828723464,0.440372678907011
"130","G","Right","P04","V","E",0.331427817886461,0.566721859862923
"131","G","Right","P05","N","E",-0.0341993204144174,0.675588874418891
"132","G","Right","P05","V","E",0.098963232625654,0.666598309723154
"133","G","Right","P06","N","N",0.415838930392792,0.407250411687644
"134","G","Right","P06","V","N",0.362205339605373,0.235420206303915
"135","G","Right","P07","N","E",0.254738343345202,0.239850439659517
"136","G","Right","P07","V","E",0.13610616605237,0.241913388174776
"137","G","Right","P08","N","E",0.275159087423056,0.558199049596949
"138","G","Right","P08","V","E",0.0977195836726514,0.47247606757732
"139","G","Right","P10","N","N",0.122400951395805,0.227105598151567
"140","G","Right","P10","V","N",0.131997699331111,0.21377415971034
"141","G","Right","P12","N","N",0.593825514725415,0.407006188042793
"142","G","Right","P12","V","N",0.446837080560593,0.450083600004086
"143","G","Right","P13","N","E",0.112515605604977,-0.0529583268667896
"144","G","Right","P13","V","E",0.104892352778104,-0.00342704563769491
"145","G","Right","P14","N","N",0.0910933914555805,0.491475495331837
"146","G","Right","P14","V","N",0.152093545522418,0.575392314745984
"147","G","Right","P15","N","E",0.0281422136492127,0.330342929539129
"148","G","Right","P15","V","E",0.052637764487858,0.536833492904623
"149","G","Right","P16","N","N",0.0963109678360033,0.34278928523529
"150","G","Right","P16","V","N",0.0412391138805286,0.456060559728204
"151","G","Right","P17","N","N",-0.0697827129352195,-0.424703293659103
"152","G","Right","P17","V","N",0.0766420845736488,-0.461130203961128
"153","G","Right","P18","N","N",0.38481036348294,0.358585928032112
"154","G","Right","P18","V","N",0.581504591193799,0.276204973210686
